in,13.9312 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
can,4.3535 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
rich in,0.870701 Text_1.txt 
Their low,0.217675 Text_1.txt 
effect upon blood,0.217675 Text_1.txt 
of,30.0392 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
the,36.5694 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
Harvard based Nurses,0.217675 Text_1.txt 
and,36.5694 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
creates eye,0.217675 Text_1.txt 
four,1.7414 Text_1.txt Text_4.txt Text_5.txt 
like,3.04745 Text_1.txt Text_3.txt Text_4.txt Text_5.txt 
pears,0.43535 Text_1.txt 
starchy,0.43535 Text_1.txt 
upon,0.217675 Text_1.txt 
Compared with,0.217675 Text_1.txt 
OmniHeart,0.217675 Text_1.txt 
a positive effect,0.217675 Text_1.txt 
based,0.870701 Text_1.txt Text_2.txt Text_3.txt 
chopped colourful fruits,0.217675 Text_1.txt 
diet,1.95908 Text_1.txt 
families of,0.217675 Text_1.txt 
green,0.870701 Text_1.txt 
it,3.70048 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
may even,0.217675 Text_1.txt 
of types,0.217675 Text_1.txt 
promote,0.217675 Text_1.txt 
several,1.30605 Text_1.txt Text_2.txt 
tasty,0.217675 Text_1.txt 
to,22.6382 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
which can help,0.217675 Text_1.txt 
At least nine,0.217675 Text_1.txt 
Follow up,1.08838 Text_1.txt 
Keep fruit,0.217675 Text_1.txt 
Skip the,0.217675 Text_1.txt 
a,25.9034 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
additional serving,0.217675 Text_1.txt 
appetite in,0.217675 Text_1.txt 
blood pressure,1.7414 Text_1.txt 
cancer lower,0.217675 Text_1.txt 
compounds,0.43535 Text_1.txt 
days try,0.217675 Text_1.txt 
dogs are owned,0.217675 Text_1.txt Text_2.txt 
even promote weight,0.217675 Text_1.txt 
five,2.39443 Text_1.txt Text_2.txt Text_3.txt Text_5.txt 
fruits can,0.217675 Text_1.txt 
health Eat,0.217675 Text_1.txt 
intakes,1.08838 Text_1.txt 
keep appetite,0.217675 Text_1.txt 
loss Their,0.217675 Text_1.txt 
most,1.08838 Text_1.txt Text_2.txt Text_3.txt 
of it One,0.217675 Text_1.txt 
orange,0.43535 Text_1.txt 
plant,0.43535 Text_1.txt 
reduce,0.653026 Text_1.txt 
saturated,0.217675 Text_1.txt 
some,2.17675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
sugar which,0.217675 Text_1.txt 
that a,0.870701 Text_1.txt 
the refrigerator,0.217675 Text_1.txt 
try,0.43535 Text_1.txt Text_4.txt 
walking,0.43535 Text_1.txt Text_2.txt 
with different,0.217675 Text_1.txt 
Although,0.43535 Text_1.txt 
Cancer Numerous,0.217675 Text_1.txt 
Eat,0.217675 Text_1.txt 
Fortnite scammers,0.217675 Text_1.txt Text_2.txt Text_3.txt 
In,1.08838 Text_1.txt Text_2.txt Text_3.txt 
Medical News Today,0.217675 Text_1.txt Text_2.txt 
Place,0.217675 Text_1.txt 
Study and Health,0.217675 Text_1.txt 
Variety,0.217675 Text_1.txt 
a greater,0.217675 Text_1.txt 
abundance,0.217675 Text_1.txt 
aisle and choose,0.217675 Text_1.txt 
and more slowly,0.217675 Text_1.txt 
as part,0.217675 Text_1.txt 
been,2.6121 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
bowl or,0.217675 Text_1.txt 
cancer For,0.43535 Text_1.txt 
categories dark,0.217675 Text_1.txt 
colourful,0.217675 Text_1.txt 
contributions,0.217675 Text_1.txt 
daily intake,0.217675 Text_1.txt 
desperate parents,0.217675 Text_1.txt Text_2.txt Text_3.txt 
disease and,0.870701 Text_1.txt 
each with,0.217675 Text_1.txt 
ensures a,0.217675 Text_1.txt 
expands as,0.217675 Text_1.txt 
fibre,1.08838 Text_1.txt 
for increasing,0.217675 Text_1.txt 
from,5.44188 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
generally,0.43535 Text_1.txt Text_4.txt 
have,7.40096 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
hours,0.870701 Text_1.txt Text_3.txt Text_4.txt 
in vegetables and,0.217675 Text_1.txt 
is,7.83631 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
juices also,0.217675 Text_1.txt 
leafy vegetables may,0.217675 Text_1.txt 
loads prevent,0.217675 Text_1.txt 
major chronic,0.217675 Text_1.txt 
mix of nutrients,0.217675 Text_1.txt 
nine,0.43535 Text_1.txt 
of different,0.217675 Text_1.txt 
of produce,0.217675 Text_1.txt 
one participants,0.217675 Text_1.txt 
owned as pets,0.217675 Text_1.txt Text_2.txt 
percent lower risk,0.43535 Text_1.txt 
pressure,2.17675 Text_1.txt 
